Country,Year,BMI,BP,Continent
Afghanistan,1984,20.60867,122.9095,Asia
Afghanistan,1985,20.64796,123.0919,Asia
Afghanistan,1986,20.68983,123.2892,Asia
Afghanistan,1987,20.70902,123.4189,Asia
Afghanistan,1988,20.71512,123.5137,Asia
Afghanistan,1989,20.71421,123.5832,Asia
Afghanistan,1990,20.70504,123.6358,Asia
Afghanistan,1991,20.70117,123.6932,Asia
Afghanistan,1992,20.67746,123.702,Asia
Afghanistan,1993,20.63639,123.6624,Asia
Afghanistan,1994,20.59074,123.6136,Asia
Afghanistan,1995,20.5675,123.6216,Asia
Afghanistan,1996,20.55575,123.6593,Asia
Afghanistan,1997,20.56759,123.7363,Asia
Afghanistan,1998,20.59306,123.8316,Asia
Afghanistan,1999,20.61717,123.9363,Asia
Afghanistan,2000,20.6185,124.0053,Asia
Afghanistan,2001,20.61353,124.0746,Asia
Afghanistan,2002,20.65274,124.2085,Asia
Afghanistan,2003,20.70828,124.3654,Asia
Afghanistan,2004,20.76927,124.519,Asia
Afghanistan,2005,20.83858,124.6693,Asia
Afghanistan,2006,20.91021,124.8126,Asia
Afghanistan,2007,20.9906,124.9512,Asia
Afghanistan,2008,21.07402,125.0857,Asia
Afghanistan,1980,20.44348,122.0799,Asia
Afghanistan,1981,20.47765,122.2677,Asia
Afghanistan,1982,20.52292,122.4872,Asia
Afghanistan,1983,20.56493,122.7061,Asia
Albania,1984,25.22359,131.8073,Europe
Albania,1985,25.21257,131.6686,Europe
Albania,1986,25.20939,131.5425,Europe
Albania,1987,25.18918,131.3945,Europe
Albania,1988,25.16965,131.2248,Europe
Albania,1989,25.1537,131.097,Europe
Albania,1990,25.13877,130.9075,Europe
Albania,1991,25.0467,130.5571,Europe
Albania,1992,24.96615,130.147,Europe
Albania,1993,24.93558,129.8305,Europe
Albania,1994,24.93562,129.5667,Europe
Albania,1995,24.93706,129.3526,Europe
Albania,1996,24.96643,129.1957,Europe
Albania,1997,24.96754,129.0459,Europe
Albania,1998,25.0022,128.9779,Europe
Albania,1999,25.06254,128.9691,Europe
Albania,2000,25.12797,128.9903,Europe
Albania,2001,25.20332,129.031,Europe
Albania,2002,25.27082,129.0609,Europe
Albania,2003,25.33198,129.0753,Europe
Albania,2004,25.39804,129.1085,Europe
Albania,2005,25.46525,129.1311,Europe
Albania,2006,25.53328,129.16,Europe
Albania,2007,25.59394,129.1707,Europe
Albania,2008,25.65726,129.1636,Europe
Albania,1980,25.17427,132.2048,Europe
Albania,1981,25.19088,132.1113,Europe
Albania,1982,25.20032,132.0324,Europe
Albania,1983,25.21906,131.9356,Europe
Algeria,1984,24.1363,131.0516,Africa
Algeria,1985,24.24213,131.0851,Africa
Algeria,1986,24.33652,131.0921,Africa
Algeria,1987,24.42523,131.0759,Africa
Algeria,1988,24.50904,131.0466,Africa
Algeria,1989,24.59436,131.0389,Africa
Algeria,1990,24.67546,130.9832,Africa
Algeria,1991,24.75504,130.9336,Africa
Algeria,1992,24.8421,130.9077,Africa
Algeria,1993,24.92523,130.8419,Africa
Algeria,1994,24.9955,130.7601,Africa
Algeria,1995,25.07258,130.6985,Africa
Algeria,1996,25.15,130.657,Africa
Algeria,1997,25.22635,130.5991,Africa
Algeria,1998,25.3097,130.5447,Africa
Algeria,1999,25.40139,130.5142,Africa
Algeria,2000,25.49389,130.4688,Africa
Algeria,2001,25.59477,130.4379,Africa
Algeria,2002,25.69948,130.4024,Africa
Algeria,2003,25.81168,130.373,Africa
Algeria,2004,25.93081,130.3041,Africa
Algeria,2005,26.03886,130.2373,Africa
Algeria,2006,26.15054,130.1542,Africa
Algeria,2007,26.26096,130.0306,Africa
Algeria,2008,26.36841,129.9049,Africa
Algeria,1980,23.67764,130.8334,Africa
Algeria,1981,23.80702,130.9079,Africa
Algeria,1982,23.92626,130.979,Africa
Algeria,1983,24.03604,131.0057,Africa
Andorra,1984,25.70584,133.931,Europe
Andorra,1985,25.70877,133.2704,Europe
Andorra,1986,25.71239,132.6709,Europe
Andorra,1987,25.72437,132.1498,Europe
Andorra,1988,25.74523,131.6667,Europe
Andorra,1989,25.77649,131.2018,Europe
Andorra,1990,25.81199,130.7709,Europe
Andorra,1991,25.85168,130.333,Europe
Andorra,1992,25.87593,129.8653,Europe
Andorra,1993,25.89671,129.3811,Europe
Andorra,1994,25.91898,128.8624,Europe
Andorra,1995,25.93933,128.3204,Europe
Andorra,1996,25.96645,127.7735,Europe
Andorra,1997,25.99661,127.221,Europe
Andorra,1998,26.03351,126.6733,Europe
Andorra,1999,26.07432,126.1448,Europe
Andorra,2000,26.10622,125.6144,Europe
Andorra,2001,26.14707,125.1168,Europe
Andorra,2002,26.19542,124.6455,Europe
Andorra,2003,26.23892,124.1528,Europe
Andorra,2004,26.28851,123.6848,Europe
Andorra,2005,26.32247,123.226,Europe
Andorra,2006,26.36846,122.7688,Europe
Andorra,2007,26.40095,122.2979,Europe
Andorra,2008,26.43196,121.8377,Europe
Andorra,1980,25.67324,136.604,Europe
Andorra,1981,25.69018,135.973,Europe
Andorra,1982,25.69922,135.3111,Europe
Andorra,1983,25.70089,134.6178,Europe
Angola,1984,20.3411,129.7096,Africa
Angola,1985,20.42624,129.6741,Africa
Angola,1986,20.51389,129.6562,Africa
Angola,1987,20.60929,129.6698,Africa
Angola,1988,20.70945,129.7407,Africa
Angola,1989,20.80873,129.8161,Africa
Angola,1990,20.914,129.8817,Africa
Angola,1991,21.00432,129.9326,Africa
Angola,1992,21.08987,129.9633,Africa
Angola,1993,21.13495,129.8706,Africa
Angola,1994,21.18443,129.8529,Africa
Angola,1995,21.25985,129.8544,Africa
Angola,1996,21.36478,129.8636,Africa
Angola,1997,21.47863,129.8612,Africa
Angola,1998,21.60939,129.8606,Africa
Angola,1999,21.76054,129.8515,Africa
Angola,2000,21.91293,129.8701,Africa
Angola,2001,22.07646,129.894,Africa
Angola,2002,22.26093,129.9282,Africa
Angola,2003,22.44571,129.9443,Africa
Angola,2004,22.63536,129.9746,Africa
Angola,2005,22.83412,130.0129,Africa
Angola,2006,23.04406,130.0599,Africa
Angola,2007,23.2633,130.1006,Africa
Angola,2008,23.48431,130.1247,Africa
Angola,1980,20.06763,130.0896,Africa
Angola,1981,20.12766,129.9897,Africa
Angola,1982,20.19464,129.8756,Africa
Angola,1983,20.26439,129.7749,Africa
Antigua and Barbuda,1984,24.70423,125.6806,North America
Antigua and Barbuda,1985,24.86193,125.6993,North America
Antigua and Barbuda,1986,25.02937,125.738,North America
Antigua and Barbuda,1987,25.18394,125.7812,North America
