Country,Year,BMI,BP,Continent
Afghanistan,1984,21.42734,125.3442,Asia
Afghanistan,1985,21.41222,125.3584,Asia
Afghanistan,1986,21.40132,125.4051,Asia
Afghanistan,1987,21.37679,125.4011,Asia
Afghanistan,1988,21.34018,125.3434,Asia
Afghanistan,1990,21.24818,125.1438,Asia
Afghanistan,1991,21.20269,125.0541,Asia
Afghanistan,1992,21.14238,124.9136,Asia
Afghanistan,1993,21.06376,124.7142,Asia
Afghanistan,1994,20.97987,124.5248,Asia
Afghanistan,1995,20.91132,124.3947,Asia
Afghanistan,1996,20.85155,124.3387,Asia
Afghanistan,1997,20.81307,124.354,Asia
Afghanistan,1998,20.78591,124.4236,Asia
Afghanistan,1999,20.75469,124.5021,Asia
Afghanistan,2000,20.69521,124.5272,Asia
Afghanistan,2001,20.62643,124.5751,Asia
Afghanistan,2002,20.59848,124.7101,Asia
Afghanistan,2003,20.58706,124.8847,Asia
Afghanistan,2004,20.57759,125.041,Asia
Afghanistan,2005,20.58084,125.2112,Asia
Afghanistan,2006,20.58749,125.3705,Asia
Afghanistan,2007,20.60246,125.5242,Asia
Afghanistan,2008,20.62058,125.6672,Asia
Afghanistan,1989,21.29845,125.2586,Asia
Afghanistan,1980,21.48678,125.1991,Asia
Afghanistan,1981,21.46552,125.2157,Asia
Afghanistan,1982,21.45145,125.2491,Asia
Afghanistan,1983,21.43822,125.309,Asia
Albania,1984,25.27901,133.2048,Europe
Albania,1985,25.28669,133.2577,Europe
Albania,1986,25.29451,133.2506,Europe
Albania,1987,25.30217,133.2931,Europe
Albania,1988,25.3045,133.2701,Europe
Albania,1990,25.32357,133.1286,Europe
Albania,1991,25.28452,132.8971,Europe
Albania,1992,25.23077,132.5104,Europe
Albania,1993,25.21192,132.1749,Europe
Albania,1994,25.22115,131.9315,Europe
Albania,1995,25.25874,131.8613,Europe
Albania,1996,25.31097,131.7794,Europe
Albania,1997,25.33988,131.718,Europe
Albania,1998,25.39116,131.7238,Europe
Albania,1999,25.46555,131.8057,Europe
